impl,seqlen,bucket,self_cuda_ms,pct,iters
nsa,8192,topk_selection,0.2238,8.05,5
nsa,8192,compression_attn,0.183,6.58,5
nsa,8192,sliding_window,0.3991,14.35,5
nsa,8192,selected_attn,1.0212,36.73,5
nsa,8192,gemm_projections,0.6549,23.55,5
nsa,8192,rope_gating_elemwise,0.2983,10.73,5
dense,8192,dense_flash_attn,1.5291,61.47,5
dense,8192,gemm_projections,0.6164,24.78,5
dense,8192,rope_gating_elemwise,0.3421,13.75,5
nsa,32768,topk_selection,2.507,18.68,5
nsa,32768,compression_attn,1.536,11.45,5
nsa,32768,sliding_window,1.5562,11.6,5
nsa,32768,selected_attn,4.2169,31.42,5
nsa,32768,gemm_projections,2.4521,18.27,5
nsa,32768,rope_gating_elemwise,1.1522,8.59,5
dense,32768,dense_flash_attn,23.1721,86.26,5
dense,32768,gemm_projections,2.422,9.02,5
dense,32768,rope_gating_elemwise,1.2698,4.73,5
nsa,131072,topk_selection,36.7058,38.62,5
nsa,131072,compression_attn,20.5584,21.63,5
nsa,131072,sliding_window,6.1886,6.51,5
nsa,131072,selected_attn,17.4705,18.38,5
nsa,131072,gemm_projections,9.2787,9.76,5
nsa,131072,rope_gating_elemwise,4.8302,5.08,5
dense,131072,dense_flash_attn,373.6407,96.2,5
dense,131072,gemm_projections,9.6149,2.48,5
dense,131072,rope_gating_elemwise,5.1472,1.33,5
nsa,262144,topk_selection,143.3417,47.27,5
nsa,262144,compression_attn,81.4823,26.87,5
nsa,262144,sliding_window,12.3768,4.08,5
nsa,262144,selected_attn,37.6745,12.42,5
nsa,262144,gemm_projections,18.6903,6.16,5
nsa,262144,rope_gating_elemwise,9.6865,3.19,5
dense,262144,dense_flash_attn,1555.417,98.11,5
dense,262144,gemm_projections,19.5768,1.23,5
dense,262144,rope_gating_elemwise,10.3629,0.65,5
